"","X","Date","Country","State","Case_Type","Cases","Difference","Prep_Flow_Runtime","Latest_Date","Lat","Long"
"112",78476,2020-03-05,"Malaysia","N/A","Active",28,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"113",78861,2020-02-20,"Malaysia","N/A","Recovered",15,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"114",78862,2020-02-20,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"115",78863,2020-02-20,"Malaysia","N/A","Confirmed",22,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"116",78864,2020-02-20,"Malaysia","N/A","Active",7,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"117",79537,2020-01-28,"Malaysia","N/A","Recovered",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"118",79538,2020-01-28,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"119",79539,2020-01-28,"Malaysia","N/A","Confirmed",4,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"120",79540,2020-01-28,"Malaysia","N/A","Active",4,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"121",80437,2020-03-08,"Malaysia","N/A","Recovered",24,1,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"122",80438,2020-03-08,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"123",80439,2020-03-08,"Malaysia","N/A","Confirmed",99,6,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"124",80440,2020-03-08,"Malaysia","N/A","Active",75,5,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"125",80785,2020-02-14,"Malaysia","N/A","Recovered",3,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"126",80786,2020-02-14,"Malaysia","N/A","Deaths",0,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
"127",80787,2020-02-14,"Malaysia","N/A","Confirmed",19,0,"3/21/2020 7:39:09 AM","3/20/2020",2.5,112.5
